Year	Edad	MinEdad	Sexo	Millares
1971	0 a 4	0	Hombres	1645355.23
1971	0 a 4	0	Mujeres	1564137.1
1971	5 a 9	5	Hombres	1648338.28
1971	5 a 9	5	Mujeres	1571615.04
1971	10 a 14	10	Hombres	1547186.86
1971	10 a 14	10	Mujeres	1483007.55
1971	15 a 19	15	Hombres	1372109.66
1971	15 a 19	15	Mujeres	1337224.36
1971	20 a 24	20	Hombres	1287653.14
1971	20 a 24	20	Mujeres	1261098.8
1971	25 a 29	25	Hombres	1120907.31
1971	25 a 29	25	Mujeres	1118575.53
1971	30 a 34	30	Hombres	1026226.27
1971	30 a 34	30	Mujeres	1047758.86
1971	35 a 39	35	Hombres	1187517.93
1971	35 a 39	35	Mujeres	1202252.04
1971	40 a 44	40	Hombres	1148550.09
1971	40 a 44	40	Mujeres	1176850.17
1971	45 a 49	45	Hombres	1050224.27
1971	45 a 49	45	Mujeres	1083343.08
1971	50 a 54	50	Hombres	807312.29
1971	50 a 54	50	Mujeres	920140.23
1971	55 a 59	55	Hombres	751939.84
1971	55 a 59	55	Mujeres	878954.94
1971	60 a 64	60	Hombres	692288.42
1971	60 a 64	60	Mujeres	819402.12
1971	65 a 69	65	Hombres	561826.41
1971	65 a 69	65	Mujeres	706929.32
1971	70 a 74	70	Hombres	379974.29
1971	70 a 74	70	Mujeres	532814.78
1971	75 a 79	75	Hombres	230816.69
1971	75 a 79	75	Mujeres	354654.73
1971	80 a 84	80	Hombres	121980.31
1971	80 a 84	80	Mujeres	214414.72
1971	85 y más	85	Hombres	61536.76
1971	85 y más	85	Mujeres	125724.58
1972	0 a 4	0	Hombres	1654568.3439
1972	0 a 4	0	Mujeres	1569995.6639
1972	5 a 9	5	Hombres	1665572.8066
1972	5 a 9	5	Mujeres	1589617.5482
1972	10 a 14	10	Hombres	1570776.7182
1972	10 a 14	10	Mujeres	1505972.8732
1972	15 a 19	15	Hombres	1390526.088
1972	15 a 19	15	Mujeres	1355228.1052
1972	20 a 24	20	Hombres	1302702.5205
1972	20 a 24	20	Mujeres	1273539.4392
1972	25 a 29	25	Hombres	1168578.6734
1972	25 a 29	25	Mujeres	1165433.0147
1972	30 a 34	30	Hombres	982754.8479
1972	30 a 34	30	Mujeres	989194.5532
1972	35 a 39	35	Hombres	1185426.955
1972	35 a 39	35	Mujeres	1212533.3128
1972	40 a 44	40	Hombres	1157884.9493
1972	40 a 44	40	Mujeres	1182639.1764
1972	45 a 49	45	Hombres	1067573.8383
1972	45 a 49	45	Mujeres	1107253.2496
1972	50 a 54	50	Hombres	854675.644
1972	50 a 54	50	Mujeres	944784.915
1972	55 a 59	55	Hombres	745396.7343
1972	55 a 59	55	Mujeres	877959.1663
1972	60 a 64	60	Hombres	697350.1236
1972	60 a 64	60	Mujeres	826641.583
1972	65 a 69	65	Hombres	573288.7798
1972	65 a 69	65	Mujeres	727103.2459
1972	70 a 74	70	Hombres	387625.8892
1972	70 a 74	70	Mujeres	538355.5081
1972	75 a 79	75	Hombres	240957.2251
1972	75 a 79	75	Mujeres	374392.7438
1972	80 a 84	80	Hombres	120786.0728
1972	80 a 84	80	Mujeres	212212.4208
1972	85 y más	85	Hombres	61495.2932
1972	85 y más	85	Mujeres	127540.0926
1973	0 a 4	0	Hombres	1661051.7948
1973	0 a 4	0	Mujeres	1573363.4742
1973	5 a 9	5	Hombres	1680620.3639
1973	5 a 9	5	Mujeres	1604789.2456
1973	10 a 14	10	Hombres	1585257.3329
1973	10 a 14	10	Mujeres	1519993.95
1973	15 a 19	15	Hombres	1408878.8812
1973	15 a 19	15	Mujeres	1371802.0724
1973	20 a 24	20	Hombres	1320479.7476
1973	20 a 24	20	Mujeres	1292492.3764
1973	25 a 29	25	Hombres	1212631.3967
1973	25 a 29	25	Mujeres	1202354.0276
1973	30 a 34	30	Hombres	979857.1146
1973	30 a 34	30	Mujeres	984988.5915
1973	35 a 39	35	Hombres	1151193.9964
1973	35 a 39	35	Mujeres	1176144.4026
1973	40 a 44	40	Hombres	1180136.3307
1973	40 a 44	40	Mujeres	1202927.6699
1973	45 a 49	45	Hombres	1074444.6002
1973	45 a 49	45	Mujeres	1108737.7046
1973	50 a 54	50	Hombres	906761.2709
1973	50 a 54	50	Mujeres	987570.6551
1973	55 a 59	55	Hombres	739953.1314
1973	55 a 59	55	Mujeres	872758.7442
1973	60 a 64	60	Hombres	703009.6899
1973	60 a 64	60	Mujeres	840745.7948
1973	65 a 69	65	Hombres	582856.8692
1973	65 a 69	65	Mujeres	735834.622
1973	70 a 74	70	Hombres	408129.8919
1973	70 a 74	70	Mujeres	566464.6709
1973	75 a 79	75	Hombres	244592.7281
1973	75 a 79	75	Mujeres	379970.1731
1973	80 a 84	80	Hombres	125932.2494
1973	80 a 84	80	Mujeres	222914.3428
1973	85 y más	85	Hombres	62184.674
1973	85 y más	85	Mujeres	128775.7905
1974	0 a 4	0	Hombres	1673728.3774
1974	0 a 4	0	Mujeres	1585329.0634
1974	5 a 9	5	Hombres	1682000.4087
1974	5 a 9	5	Mujeres	1602463.5835
1974	10 a 14	10	Hombres	1601890.8478
1974	10 a 14	10	Mujeres	1540088.0621
1974	15 a 19	15	Hombres	1441534.1257
1974	15 a 19	15	Mujeres	1398057.8356
1974	20 a 24	20	Hombres	1310139.4138
1974	20 a 24	20	Mujeres	1281155.2356
1974	25 a 29	25	Hombres	1246218.2505
1974	25 a 29	25	Mujeres	1236384.2825
1974	30 a 34	30	Hombres	1033297.8694
1974	30 a 34	30	Mujeres	1032483.4606
1974	35 a 39	35	Hombres	1089696.4477
1974	35 a 39	35	Mujeres	1114697.5129
1974	40 a 44	40	Hombres	1192334.124
1974	40 a 44	40	Mujeres	1211392.9459
1974	45 a 49	45	Hombres	1092539.7838
1974	45 a 49	45	Mujeres	1131046.1093
